,0,1,2
0,-106466.149455,-16313.7798306,-1017.87415661
1,25868.8446549,-16274.6689165,-1022.07982899
2,44943.8434153,-16268.1754902,-1022.68733894
3,148631.839047,-16237.3147037,-1025.98814803
4,94804.8408451,-16251.816184,-1024.28009469
5,-29590.1541113,-16286.6404957,-1020.33380675
6,19864.8433218,-16271.3979946,-1021.90369771
7,-143995.717285,-16268.9672465,13067.190857
8,-30327.9959975,-16265.9775063,4157.64322002
9,90686.8394939,-16248.0021124,-1024.16134223
10,-48480.1546059,-16287.0806525,-1019.75013619
11,-67505.1540597,-16291.5596169,-1019.15155714
12,15241.8419811,-16266.7294312,-1021.77967882
13,-68005.1548023,-16289.7035778,-1019.13884172
14,55709.8397212,-16253.0751508,-1023.0729275
15,-13021.1575729,-16271.8688923,-1020.89531627
16,-2953.15837157,-16267.9694179,-1021.21694342
17,-160890.151971,-16312.4533754,-1016.20113302
18,102397.836415,-16235.629557,-1024.56806593
19,3746.84034653,-16263.0398799,-1021.43597724
20,112368.835367,-16230.7580437,-1024.89367984
21,-112932.155126,-16294.6420776,-1017.74026657
22,-72740.2371908,-16282.1829227,-1022.55097987
23,-80762.1573273,-16283.3774946,-1018.76536967
24,27073.8377978,-16251.3219992,-1022.19472232
25,-21483.1600428,-16264.3059114,-1020.66125949
26,-9566.16122288,-16259.8739011,-1021.03542768
27,177482.830578,-16205.0059811,-1026.98057387
28,3588.83772151,-16254.0854318,-1021.46372306
29,931.837780775,-16253.8506582,-1021.38482495
30,76237.834311,-16231.1634602,-1023.78198564
31,197162.773462,-16195.4181834,-1030.0590304
32,-129826.157537,-16288.5074497,-1017.2420026
33,121734.831541,-16215.0608963,-1025.2411389
34,52628.8339396,-16233.9625164,-1023.04275994
35,7422.83581413,-16245.9813966,-1021.6136136
36,354313.820737,-16145.0808785,-1032.63924294
37,-105623.16002,-16276.5373138,-1018.02807277
38,75699.8317647,-16223.318374,-1023.78901197
39,318097.821273,-16152.5106283,-1031.49517121
40,-101271.16129,-16272.2839474,-1018.17325051
41,-16790.164928,-16246.9544659,-1020.86325924
42,-95139.1620849,-16268.518018,-1018.3758418
43,100202.829515,-16211.2618805,-1024.58876504
44,148117.826846,-16196.4628651,-1026.10889068
45,-45416.1651141,-16251.198397,-1019.96530936
46,-61423.164639,-16254.8082475,-1019.46112885
47,-88174.1637456,-16261.5122173,-1018.61535812
48,81688.8288105,-16211.5937067,-1024.01618869
49,-157502.161201,-16279.4779287,-1016.42220611
50,37178.8302759,-16222.4121142,-1022.61250353
51,-137942.237293,-16271.9526191,-1020.33419039
52,61807.8282706,-16213.3191685,-1023.39377012
53,-79945.1659309,-16253.1423765,-1018.89403408
54,48215.8283753,-16215.2335723,-1022.97180292
55,26888.8290361,-16220.3754785,-1022.29796332
56,-133425.16432,-16265.5440526,-1017.20980103
57,-42405.1686032,-16238.3313404,-1020.10285725
58,-1631.01657613,-16208.2830525,3991.55837033
59,-130281.091383,-16253.3291892,1389.6614383
60,104158.824379,-16193.1226709,-1024.77172554
61,-40137.1699044,-16233.6782195,-1020.18863246
62,-73145.1687377,-16242.1841401,-1019.14346098
63,-84179.1684528,-16244.3618362,-1018.7967115
64,-34240.1709023,-16228.9799782,-1020.38814936
65,-6602.17229994,-16220.0205892,-1021.27064334
66,-19931.1722587,-16222.8591363,-1020.84724384
67,1903.82653037,-16215.5709288,-1021.54339047
68,10903.8261183,-16211.9791044,-1021.83751761
69,-88268.1698484,-16239.5394978,-1018.69246231
70,120196.820809,-16178.5039937,-1025.31545595
71,-27479.1732075,-16220.0329223,-1020.62391615
72,21900.8245148,-16204.8121201,-1022.20096166
73,-65033.1725641,-16228.8480175,-1019.43731492
74,24143.8238556,-16202.166179,-1022.27876151
